phrase,topics1,topics2,topics3,topics4,
Сделали новую карту прошло два дня деньги так и не приходят на счет,Не зачислил деньги на карту (_Local_Didnt_Money_On_Card),Не дошел (платеж) (_Local_Not_Received),Когда поступят деньги (_Local_Get_Money),Проблема (_Local_Some_Problems),
Проблема,Проблема (_Local_Some_Problems),Проблема с банкоматом (_Local_ATM_Problem),Проблема с переводом (_Local_Cant_Transfer),,
Первое/второе + понятная фраза,Локал первое/второе + тематика,,,,
Да/Нет не ставим только с Вместо консультации оператора,,,,,
График работы отделения,_General График работы УКД (_General_GRAFIK_OFFICE_UKD),Отделение (_Local_Bank_Branch),,,
Набор цифр ( пять сорок восемьсот) \ + оператор,Цифры (Numbers),,,,
Сумма кратная 1000 (шестьсот тысяч),Более 500 тыс. ? (_Local_More_500),займы более 100 тыс (_Local_MoreNumbers ),,,
Узнать сумму для закрытия кредита,Кредит наличными (Про платеж) (_Local_DIS_Credit),,,,
Я не спрашиваю о комиссии за снятие или переводы я говорю о комиссии которую с меня списали просто,УВ Странные операции (UV_Strange_Operation),,,,
Возникли проблемы с награждением нет кэшбэка,Проблема (_Local_Some_Problems),Кэшбэк (_Local_Cashback),,,
Сколько потраченных денег мне связаться с оператором,_General Выписка (_General_BankStatement),Движение денежных средств (_Local_Transactions),,,
Мне пришли деньги не на тот счет,_General Между Счетами УКД (_General_MEZHDU_SCHETAMI_UKD),,,,
Частичное погашение,Частично (_Local_Partly) ,,,,
Страховка по кредитной карте / страховка по кредиту,УВ Страхование (UV_Insurance),Страхование (_Local_Insurance),,,
Рассказать о действующий,Действующая карта (CurrentCard),Имеющийся кредит (_Local_Current_Credit),МФО (_Local_Current_MFO),,
Убрать,Отказаться  (_Local_Refuse),,,,
Отменить,Отказаться  (_Local_Refuse),Отменить перевод (_Local_Cancel_Transfer_Payment),Отменить платеж (_Local_Cancel_Payment),,
Лимит внесение наличных,Вместо консультации на оператора,,,,
узнать статус карты ,Статус (_Local_Status),_General Готовность карт (_General_TAKE_CARD) ,Готовность карт (CardReadiness) ,,
Авторизовать номер телефона,_General_Подтверждение сим-карты (_General_Sim_Confirmation),подтверждение симкарты (_Local_Sim_Confirmation),,,
вопрос по карте по карте пришло сообщение,УВ Карта (UV_Card),Карта (_Local_Card),,,
Оформила зп карту ,УВ Дебетовая карта (UV_Debitcard),Дебетовая карта (_Local_Debit_Card),Зарплатный (счет/ карта) _Local_Salary,_General_ИЗК (_General_IZK),
Кредитная  карта/  кредитная карта,УВ Кредитная карта (UV_CreditCard),Кредитная картаКредитка (_Local_Credit_Card),Кредитная карта (именно карта) (_Local_CreditCard_Karta),,
Не заходит в приложение говорит что поменялся номер телефона ,Смена номера телефона (_General_Change_phone),Привязать номер (_Local_Bind_Number),,,
 Онлайн,АМ Подключение (_General_AM_Connection),Приложение или -Онлайн (_Local_AM_Online),-Онлайн (_Local_AO),,
Клиент банк,АМ Подключение (_General_AM_Connection),Приложение или -Онлайн (_Local_AM_Online),Приложение (_Local_Application),-Онлайн (_Local_AO),
Заблокировали номер телефона,_General_Подтверждение сим-карты (_General_Sim_Confirmation),подтверждение симкарты (_Local_Sim_Confirmation),,,
Не зачислил деньги,Не зачислил деньги на карту (_Local_Didnt_Money_On_Card),,,,
Набор цифр + тематика,Тематика ,,,,
Незаконно снимают комиссию,УВ_ Странные операции(UV_ Strange_operation),,,,
Счет кредитной карты,Кредитная картаКредитка (_Local_Credit_Card),Счет кредитной карты (_Local_CreditCard_Account),,,
Терминал,Терминалы партнеров (_Local_PartnerSalon_PaymentTerminal),,,,
Перевод / сделать перевод,УВ Перевод (UV_Remittance),Перевод (_Local_Remittance),,,
Я переводил,Я (переводил) (_Local_I_Did),Статус (_Local_Status),,,
Расторгнуть договор по договору  банка,-Банк (_Local_bank),,,,
Мне перевели / я переводил себе на альфу,Мне (переводили) (_Local_To_Me),Статус (_Local_Status),,,
Переводил/ был перевод / сделал перевод / я переводил себе,Статус (_Local_Status),,,,
Хочу получить кредитную карту,УВ Кредитная карта (UV_CreditCard),Кредитная картаКредитка (_Local_Credit_Card),,,
Процент,_General Без вопроса (_General_Whithout_Question),,,,
Хочу узнать о процентной ставке,Условия (_Local_Conditions),,,,
"Маты, обзывание, ругательство (кожаный, петух, блять) и да",Да (Agree),,,,
Положила деньги но их на карте нет,Не зачислил деньги на карту (_Local_Didnt_Money_On_Card),Не дошел (платеж) (_Local_Not_Received),Статус (_Local_Status),,
неправильная сумма/неверный процент,Не правильные начисления (_Local_Incorrect_Accrual),,,,
Не пришли проценты,Не дошел (платеж) (_Local_Not_Received),,,,
"Мне звонили, пытаются оформить кредит (то есть попытка)",Мошенничество (_General_Fraud),Мошенничество (_Local_Fraud),,,
Меня обманули мошенники/ у меня мошеннические действия происходят,Мошенничество (_General_Fraud),Мошенничество (_Local_Fraud),,,
получить секретный код,Настроить секретный код (_General_Setup_Secret_Code) ,,,,
корпоративная карта,_General Юрики (_General_Entity),Юрлица (_Local_Business),,,
"как узнать зашел ли транш второй от банка/
получить транш",_General Юрики (_General_Entity),Юрлица (_Local_Business),,,
Не работает терминал / не проходит оплата по терминалу / не проходит оплата по эквайрингу,_General Юрики (_General_Entity),Юрлица (_Local_Business),,,
по задолженности/не гасится задолженность/ условия дату суммы платежа,_General Платеж по кредиту (_General_DIS),Кредит (_Local_Credit),Платеж по кредитному продукту (_Local_DIS),,
Секретный код,Что такое секретный код (_General_About_Secret_Code),Получается (или дословно Можно войти) (_Local_Can_Enter),,,
Оплатить карту/Cколько я буду платить за свою карту в месяц,Условия (_Local_Conditions),Кредит (_Local_Credit),_General Платеж по кредиту (_General_DIS),Платеж по кредитному продукту (_Local_DIS),
Несанкционированные звонки,_General Мошенничество (_General_Fraud),Реклама (_Local_Advertising),Мошенничество (_Local_Fraud),,
Платеж в терминале,УВ Платеж (UV_Payment),Карта (_Local_Card),,,
"Платил в АО, АМ",УВ Платеж (UV_Payment),Приложение или -Онлайн (_Local_AM_Online),,,
Возврат денег / возврат за покупку,_General Отмена платежа (_General_Cancel_Payment),,,,
Сколько я могу потратить денег,УВ Лимит (UV_Limit),Лимиты (_Local_Limits),,,
Не отображается перевод в операциях,"Статус (_Local_Status)
",Не дошел (платеж) (_Local_Not_Received),,,
разблокировать карты приложение интернет банк ,_General Разблокировать приложение (_General_Unlock_App),Нет доступа (_Local_No_Access),,,
Наличными в отделении,Заказ денег УКД (_Local_Zakaz_Dengi_UKD),,,,
так мне надо подключить приложение на другом устройстве,скачать/обновить (_Local_Download),,,,
у меня был займа денег,_General МФО (_General_MFO),МФО (_Local_Current_MFO),,,
задолженнность по займу ,МФО (_Local_Current_MFO),,,,
мошеннические операции по моей карте,_General Мошенничество_UNI (_General_Fraud_UNI),,,,
статус претензии,_General Статус претензии (_General_ClaimStat),Узнать статус обращения (_Local_Claim_Status),,,
сервис банка/банковские услуги/продукты банка,Банковские услуги (_Local_Banking_Services),,,,
мне нужен оператор для физ лиц,Физлица (_Local_Person),,,,
Перенести номер/перейти со своим номеров,Перенести номер (_Local_Number_Transfer),,,,
Экстренный звонок/экстренно соедините с оператором/вопрос жизни и смерти,Экстренный вызов (_Local_Emergency_Call),,,,
Проблема с переводом,УВ Проблемы с переводами (UV_RemittanceProblems),Проблема с переводом (_Local_Cant_Transfer),,,
Связаться с оператором отделения,_General Оператор (_General_Operator),Оператор (Operator),,,
Связаться с отделением банка/мне нужен номер филиала в городе сосновый бор,_General Приветствие (_General_Hello),,,,
Подтвердить номер телефона,_General_Подтверждение сим-карты (_General_Sim_Confirmation),подтверждение симкарты (_Local_Sim_Confirmation),,,
Изменить / отключить / увеличить / уменьшить лимиты на переводы,Вместо консультации,,,,
какой статус кредитки,Статус (_Local_Status),_General Готовность карт (_General_TAKE_CARD) ,Готовность карт (CardReadiness) ,,
через сбербанк не получается провести оплату на  банк,Проблема с переводом (_Local_Cant_Transfer),,,,
банкомат завис,УВ Проблемы с банкоматами (UV_ATM_Problems),Проблема с банкоматом (_Local_ATM_Problem),Банкоматы (_Local_ATM),,
скажите когда придут вознаграждение за пригласи друга,Условия (_Local_Conditions),,,,
сколько остаток на депозитном счете ( вкладе),_General Условия вклада (_Ge?neral_Condition_Vklad),,,,
